+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
| Number of Nodes | %  | Number of Edges | Cliques |  k  | Basic Operations |          Time          |   Memory  |
|       157       | 50 |       4853      |  False  |  78 |      41683       |  0.01320195198059082   |    0.0    |
|       157       | 75 |       6469      |  False  | 117 |      52055       |  0.01771378517150879   |    0.0    |
|       158       | 12 |       1399      |  False  |  18 |      27705       |  0.005151987075805664  |    0.0    |
|       158       | 25 |       2743      |  False  |  39 |      31440       |  0.008065938949584961  |    0.0    |
|       158       | 50 |       4843      |  False  |  79 |      39078       |  0.01308298110961914   |    0.0    |
|       158       | 75 |       6562      |  False  | 118 |      50677       |  0.01813220977783203   |    0.0    |
|       159       | 12 |       1426      |  False  |  19 |      28417       |  0.005303144454956055  |    0.0    |
|       159       | 25 |       2746      |  False  |  39 |      31635       |  0.008099794387817383  |    0.0    |
|       159       | 50 |       4965      |  False  |  79 |      40006       |  0.013436079025268555  |    0.0    |
|       159       | 75 |       6595      |  False  | 119 |      52005       |  0.01803278923034668   |    0.0    |
|       160       | 12 |       1442      |  False  |  19 |      28845       |  0.005373954772949219  |    0.0    |
|       160       | 25 |       2782      |  False  |  40 |      31953       |  0.00820302963256836   |    0.0    |
|       160       | 50 |       5027      |  False  |  80 |      40876       |  0.01368403434753418   |    0.0    |
|       160       | 75 |       6685      |  False  | 120 |      52795       |  0.018477916717529297  |    0.0    |
|       161       | 12 |       1456      |  False  |  19 |      28953       | 0.0054280757904052734  |    0.0    |
|       161       | 25 |       2856      |  False  |  40 |      33078       |  0.00846099853515625   |    0.0    |
|       161       | 50 |       5080      |  False  |  80 |      41409       |  0.013916969299316406  |    0.0    |
|       161       | 75 |       6827      |  False  | 120 |      51516       |  0.018894195556640625  |    0.0    |
|       162       | 12 |       1477      |  False  |  19 |      29636       |  0.005525827407836914  |    0.0    |
|       162       | 25 |       2869      |  False  |  40 |      32952       |  0.008580207824707031  |    0.0    |
|       162       | 50 |       5112      |  False  |  81 |      42180       |  0.014094114303588867  |    0.0    |
|       162       | 75 |       6872      |  False  | 121 |      52513       |  0.019030094146728516  |    0.0    |
|       163       | 12 |       1498      |  False  |  19 |      29701       |  0.005602121353149414  |    0.0    |
|       163       | 25 |       2914      |  False  |  40 |      33270       |  0.008665084838867188  |    0.0    |
|       163       | 50 |       5213      |  False  |  81 |      42605       |  0.014415264129638672  |    0.0    |
|       163       | 75 |       6936      |  False  | 122 |      53470       |  0.019538164138793945  |    0.0    |
|       164       | 12 |       1523      |  False  |  19 |      30203       |  0.00571894645690918   |    0.0    |
|       164       | 25 |       2972      |  False  |  41 |      34853       |  0.009025812149047852  |    0.0    |
|       164       | 50 |       5308      |  False  |  82 |      42547       |  0.014744043350219727  |    0.0    |
|       164       | 75 |       7020      |  False  | 123 |      54650       |  0.019795894622802734  |    0.0    |
|       165       | 12 |       1539      |  False  |  19 |      30293       |   0.0057830810546875   |    0.0    |
|       165       | 25 |       3018      |  False  |  41 |      34476       |  0.009120941162109375  |    0.0    |
|       165       | 50 |       5315      |  False  |  82 |      43349       |  0.015048980712890625  |    0.0    |
|       165       | 75 |       7179      |  False  | 123 |      55318       |  0.020142793655395508  |    0.0    |
|       166       | 12 |       1548      |  False  |  19 |      30850       |  0.005908966064453125  |    0.0    |
|       166       | 25 |       3010      |  False  |  41 |      34658       |  0.009105920791625977  |    0.0    |
|       166       | 50 |       5396      |  False  |  83 |      44000       |  0.01519012451171875   |    0.0    |
|       166       | 75 |       7167      |  False  | 124 |      54977       |  0.02032303810119629   |    0.0    |
|       167       | 12 |       1567      |  False  |  20 |      31106       |  0.005933046340942383  |    0.0    |
|       167       | 25 |       3063      |  False  |  41 |      35240       |  0.009286880493164062  |    0.0    |
|       167       | 50 |       5510      |  False  |  83 |      45000       |  0.015659093856811523  |    0.0    |
|       167       | 75 |       7351      |  False  | 125 |      54824       |  0.02101421356201172   |    0.0    |
|       168       | 12 |       1588      |  False  |  20 |      31717       |  0.006100893020629883  |    0.0    |
|       168       | 25 |       3088      |  False  |  42 |      35528       |  0.009402990341186523  |    0.0    |
|       168       | 50 |       5516      |  False  |  84 |      44721       |  0.015607833862304688  |    0.0    |
|       168       | 75 |       7390      |  False  | 126 |      56633       |  0.021427392959594727  |    0.0    |
|       169       | 12 |       1604      |  False  |  20 |      31744       |  0.006148099899291992  |    0.0    |
|       169       | 25 |       3149      |  False  |  42 |      35908       |  0.009617805480957031  |    0.0    |
|       169       | 50 |       5635      |  False  |  84 |      45539       |  0.016024112701416016  |  2.15625  |
|       169       | 75 |       7510      |  False  | 126 |      58262       |  0.021810054779052734  |  0.015625 |
|       170       | 12 |       1619      |  False  |  20 |      32145       |  0.006201982498168945  |    0.0    |
|       170       | 25 |       3187      |  False  |  42 |      36505       |  0.009837150573730469  |    0.0    |
|       170       | 50 |       5670      |  False  |  85 |      47385       |  0.016299724578857422  |    0.0    |
|       170       | 75 |       7545      |  False  | 127 |      56949       |   0.021942138671875    |    0.0    |
|       171       | 12 |       1627      |  False  |  20 |      32785       |  0.006298065185546875  |    0.0    |
|       171       | 25 |       3210      |  False  |  42 |      37740       |  0.009955883026123047  |    0.0    |
|       171       | 50 |       5725      |  False  |  85 |      46939       |  0.016440153121948242  |    0.0    |
|       171       | 75 |       7682      |  False  | 128 |      59263       |  0.022469043731689453  |    0.0    |
|       172       | 12 |       1656      |  False  |  20 |      33114       |  0.006402015686035156  |    0.0    |
|       172       | 25 |       3251      |  False  |  43 |      37827       |  0.010102033615112305  |    0.0    |
|       172       | 50 |       5800      |  False  |  86 |      47206       |   0.0167849063873291   |    0.0    |
|       172       | 75 |       7727      |  False  | 129 |      58737       |  0.022481918334960938  |    0.0    |
|       173       | 12 |       1672      |  False  |  20 |      33493       |  0.006493330001831055  |    0.0    |
|       173       | 25 |       3308      |  False  |  43 |      37765       |  0.010265111923217773  |    0.0    |
|       173       | 50 |       5862      |  False  |  86 |      47286       |  0.01697707176208496   |    0.0    |
|       173       | 75 |       7869      |  False  | 129 |      60061       |  0.023205041885375977  |    0.0    |
|       174       | 12 |       1683      |  False  |  20 |      33849       | 0.0065691471099853516  |    0.0    |
|       174       | 25 |       3326      |  False  |  43 |      38669       |  0.010402202606201172  |    0.0    |
|       174       | 50 |       5907      |  False  |  87 |      48268       |   0.0171968936920166   |    0.0    |
|       174       | 75 |       7985      |  False  | 130 |      59414       |  0.02355504035949707   |    0.0    |
|       175       | 12 |       1731      |  False  |  21 |      34548       |  0.006706953048706055  |    0.0    |
|       175       | 25 |       3371      |  False  |  43 |      39068       |  0.010558843612670898  |    0.0    |
|       175       | 50 |       5960      |  False  |  87 |      49176       |  0.01751399040222168   |    0.0    |
|       175       | 75 |       8004      |  False  | 131 |      61191       |  0.023689985275268555  |    0.0    |
|       176       | 12 |       1747      |  False  |  21 |      34992       | 0.0067751407623291016  |    0.0    |
|       176       | 25 |       3424      |  False  |  44 |      39321       |  0.01077723503112793   |    0.0    |
|       176       | 50 |       6086      |  False  |  88 |      49108       |  0.01785898208618164   |    0.0    |
|       176       | 75 |       8074      |  False  | 132 |      60842       |  0.024122953414916992  |    0.0    |
|       177       | 12 |       1760      |  False  |  21 |      34838       |  0.006925106048583984  |    0.0    |
|       177       | 25 |       3419      |  False  |  44 |      39253       |  0.010833978652954102  |    0.0    |
|       177       | 50 |       6130      |  False  |  88 |      51009       |  0.01817607879638672   |    0.0    |
|       177       | 75 |       8234      |  False  | 132 |      63414       |  0.024602651596069336  |    0.0    |
|       178       | 12 |       1789      |  False  |  21 |      35437       | 0.0070078372955322266  |    0.0    |
|       178       | 25 |       3493      |  False  |  44 |      40328       |  0.01108098030090332   |    0.0    |
|       178       | 50 |       6188      |  False  |  89 |      51779       |  0.018603086471557617  |    0.0    |
|       178       | 75 |       8308      |  False  | 133 |      65848       |  0.025300025939941406  | 22.921875 |
|       179       | 12 |       1791      |  False  |  21 |      36082       |  0.007057905197143555  |  0.015625 |
|       179       | 25 |       3540      |  False  |  44 |      40108       |  0.01125192642211914   |    0.0    |
|       179       | 50 |       6265      |  False  |  89 |      50831       |  0.018722057342529297  |    0.0    |
|       179       | 75 |       8483      |  False  | 134 |      64668       |  0.025675058364868164  |    0.0    |
|       180       | 12 |       1809      |  False  |  21 |      36035       |  0.007161855697631836  |    0.0    |
|       180       | 25 |       3546      |  False  |  45 |      40826       |  0.011377096176147461  |    0.0    |
|       180       | 50 |       6319      |  False  |  90 |      51615       |  0.018913984298706055  |    0.0    |
|       180       | 75 |       8527      |  False  | 135 |      66775       |  0.025794029235839844  |    0.0    |
|       181       | 12 |       1842      |  False  |  21 |      37235       |  0.00741887092590332   |    0.0    |
|       181       | 25 |       3594      |  False  |  45 |      42887       |  0.011526823043823242  |    0.0    |
|       181       | 50 |       6407      |  False  |  90 |      52726       |  0.019363880157470703  |    0.0    |
|       181       | 75 |       8593      |  False  | 135 |      66347       |  0.026175975799560547  |    0.0    |
|       182       | 12 |       1855      |  False  |  21 |      37125       |  0.007395267486572266  |    0.0    |
|       182       | 25 |       3644      |  False  |  45 |      41480       |  0.011743783950805664  |    0.0    |
|       182       | 50 |       6456      |  False  |  91 |      54710       |  0.01970696449279785   |    0.0    |
|       182       | 75 |       8649      |  False  | 136 |      68317       |  0.026547908782958984  |    0.0    |
|       183       | 12 |       1897      |  False  |  21 |      37378       | 0.0075609683990478516  |    0.0    |
|       183       | 25 |       3714      |  False  |  45 |      42461       |  0.011991024017333984  |    0.0    |
|       183       | 50 |       6528      |  False  |  91 |      52934       |  0.019824981689453125  |    0.0    |
|       183       | 75 |       8805      |  False  | 137 |      66826       |  0.027120113372802734  |    0.0    |
|       184       | 12 |       1903      |  False  |  22 |      37958       |  0.007643938064575195  |    0.0    |
|       184       | 25 |       3732      |  False  |  46 |      42543       |  0.012090206146240234  |    0.0    |
|       184       | 50 |       6568      |  False  |  92 |      53774       |  0.020045995712280273  |    0.0    |
|       184       | 75 |       8924      |  False  | 138 |      67529       |  0.027625322341918945  |    0.0    |
|       185       | 12 |       1934      |  False  |  22 |      38263       |  0.007772207260131836  |    0.0    |
|       185       | 25 |       3766      |  False  |  46 |      43232       |  0.012470006942749023  |    0.0    |
|       185       | 50 |       6740      |  False  |  92 |      56698       |  0.020694971084594727  |    0.0    |
|       185       | 75 |       8913      |  False  | 138 |      69141       |  0.02769303321838379   |    0.0    |
|       186       | 12 |       1943      |  False  |  22 |      38656       |  0.007827997207641602  |    0.0    |
|       186       | 25 |       3792      |  False  |  46 |      45705       |  0.012427091598510742  |    0.0    |
|       186       | 50 |       6809      |  False  |  93 |      59412       |  0.021001100540161133  |    0.0    |
|       186       | 75 |       9041      |  False  | 139 |      69311       |  0.028299808502197266  |    0.0    |
|       187       | 12 |       1955      |  False  |  22 |      39138       |  0.00789189338684082   |    0.0    |
|       187       | 25 |       3868      |  False  |  46 |      44197       |  0.01266789436340332   |    0.0    |
|       187       | 50 |       6790      |  False  |  93 |      55205       |  0.02097296714782715   |    0.0    |
|       187       | 75 |       9137      |  False  | 140 |      71547       |  0.028669357299804688  |  0.109375 |
|       188       | 12 |       1980      |  False  |  22 |      39269       |  0.008006095886230469  |    0.0    |
|       188       | 25 |       3924      |  False  |  47 |      44677       |  0.012898921966552734  |    0.0    |
|       188       | 50 |       6939      |  False  |  94 |      56509       |  0.02161407470703125   |    0.0    |
|       188       | 75 |       9278      |  False  | 141 |      72993       |  0.029315710067749023  |    0.0    |
|       189       | 12 |       2010      |  False  |  22 |      39759       |  0.008131027221679688  |    0.0    |
|       189       | 25 |       3910      |  False  |  47 |      44895       |  0.012943744659423828  |    0.0    |
|       189       | 50 |       6986      |  False  |  94 |      56649       |  0.021695852279663086  |    0.0    |
|       189       | 75 |       9380      |  False  | 141 |      71328       |  0.02955484390258789   |    0.0    |
|       190       | 12 |       2029      |  False  |  22 |      40177       |  0.008189201354980469  |    0.0    |
|       190       | 25 |       3963      |  False  |  47 |      47448       |  0.013286828994750977  |    0.0    |
|       190       | 50 |       7088      |  False  |  95 |      57212       |  0.022112131118774414  |    0.0    |
|       190       | 75 |       9514      |  False  | 142 |      73122       |  0.03018331527709961   |    0.0    |
|       191       | 12 |       2060      |  False  |  22 |      41319       |  0.008400678634643555  |    0.0    |
|       191       | 25 |       4031      |  False  |  47 |      46069       |  0.013445138931274414  |    0.0    |
|       191       | 50 |       7123      |  False  |  95 |      58660       |  0.022393226623535156  |    0.0    |
|       191       | 75 |       9563      |  False  | 143 |      74488       |  0.030673980712890625  |    0.0    |
|       192       | 12 |       2083      |  False  |  23 |      41065       |  0.008477926254272461  |    0.0    |
|       192       | 25 |       4064      |  False  |  48 |      47127       |  0.013650894165039062  |    0.0    |
|       192       | 50 |       7176      |  False  |  96 |      58818       |  0.022610902786254883  |    0.0    |
|       192       | 75 |       9691      |  False  | 144 |      74621       |  0.031051158905029297  |    0.0    |
|       193       | 12 |       2089      |  False  |  23 |      41583       |  0.008635282516479492  |    0.0    |
|       193       | 25 |       4076      |  False  |  48 |      46979       |  0.01378011703491211   |    0.0    |
|       193       | 50 |       7203      |  False  |  96 |      60355       |  0.02287602424621582   |    0.0    |
|       193       | 75 |       9785      |  False  | 144 |      75361       |  0.031414031982421875  |    0.0    |
|       194       | 12 |       2128      |  False  |  23 |      42537       |  0.008844852447509766  |    0.0    |
|       194       | 25 |       4169      |  False  |  48 |      47519       |  0.014039039611816406  |    0.0    |
|       194       | 50 |       7375      |  False  |  97 |      59862       |  0.023444414138793945  |    0.0    |
|       194       | 75 |       9884      |  False  | 145 |      75095       |  0.03179216384887695   |    0.0    |
|       195       | 12 |       2141      |  False  |  23 |      42573       |  0.00879979133605957   |    0.0    |
|       195       | 25 |       4198      |  False  |  48 |      47921       |  0.014219045639038086  |    0.0    |
|       195       | 50 |       7400      |  False  |  97 |      60609       |  0.023801803588867188  |    0.0    |
|       195       | 75 |      10010      |  False  | 146 |      78357       |  0.032511234283447266  |    0.0    |
|       196       | 12 |       2163      |  False  |  23 |      43419       |  0.008903026580810547  |    0.0    |
|       196       | 25 |       4237      |  False  |  49 |      48450       |  0.014442920684814453  |    0.0    |
|       196       | 50 |       7530      |  False  |  98 |      61718       |  0.024111032485961914  |    0.0    |
|       196       | 75 |      10038      |  False  | 147 |      79089       |  0.03271031379699707   |    0.0    |
|       197       | 12 |       2181      |  False  |  23 |      43367       |  0.00904083251953125   |    0.0    |
|       197       | 25 |       4240      |  False  |  49 |      48812       |  0.014483213424682617  |    0.0    |
|       197       | 50 |       7567      |  False  |  98 |      62354       |  0.024355173110961914  |    0.0    |
|       197       | 75 |      10240      |  False  | 147 |      77061       |  0.03322005271911621   |    0.0    |
|       198       | 12 |       2199      |  False  |  23 |      44209       |  0.009160995483398438  |    0.0    |
|       198       | 25 |       4308      |  False  |  49 |      50872       |  0.01483607292175293   |    0.0    |
|       198       | 50 |       7682      |  False  |  99 |      62271       |  0.024714946746826172  |    0.0    |
|       198       | 75 |      10359      |  False  | 148 |      82853       |  0.03400111198425293   |    0.0    |
|       199       | 12 |       2248      |  False  |  23 |      44358       |  0.009316205978393555  |    0.0    |
|       199       | 25 |       4403      |  False  |  49 |      50550       |  0.015163898468017578  |    0.0    |
|       199       | 50 |       7756      |  False  |  99 |      63121       |  0.02526688575744629   |    0.0    |
|       199       | 75 |      10407      |  False  | 149 |      81144       |  0.03475499153137207   |    0.0    |
+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
