+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
| Number of Nodes | %  | Number of Edges | Cliques |  k  | Basic Operations |          Time          |   Memory  |
|        30       | 50 |       172       |  False  |  15 |       1252       | 0.00019025802612304688 |    0.0    |
|        30       | 75 |       221       |  False  |  22 |       1478       |   0.0002288818359375   |    0.0    |
|        31       | 12 |        53       |   True  |  3  |        53        | 1.4066696166992188e-05 |    0.0    |
|        31       | 25 |       104       |  False  |  7  |       1129       | 0.0001571178436279297  |    0.0    |
|        31       | 50 |       195       |  False  |  15 |       1422       | 0.0002162456512451172  |    0.0    |
|        31       | 75 |       247       |  False  |  23 |       1726       | 0.0002598762512207031  |    0.0    |
|        32       | 12 |        57       |   True  |  3  |        43        | 1.3113021850585938e-05 |    0.0    |
|        32       | 25 |       114       |  False  |  8  |       1235       | 0.00017261505126953125 |    0.0    |
|        32       | 50 |       197       |  False  |  16 |       1572       | 0.00023293495178222656 |    0.0    |
|        32       | 75 |       263       |  False  |  24 |       1786       | 0.0002739429473876953  |    0.0    |
|        33       | 12 |        61       |   True  |  3  |        7         | 7.867813110351562e-06  |    0.0    |
|        33       | 25 |       117       |  False  |  8  |       1296       | 0.0001819133758544922  |    0.0    |
|        33       | 50 |       205       |  False  |  16 |       1574       | 0.00024127960205078125 |    0.0    |
|        33       | 75 |       282       |  False  |  24 |       1910       | 0.0003027915954589844  |    0.0    |
|        34       | 12 |        64       |   True  |  4  |       366        | 5.1975250244140625e-05 |    0.0    |
|        34       | 25 |       126       |  False  |  8  |       1351       | 0.00019407272338867188 |    0.0    |
|        34       | 50 |       222       |  False  |  17 |       1658       | 0.0002589225769042969  |    0.0    |
|        34       | 75 |       300       |  False  |  25 |       2253       | 0.00032901763916015625 |    0.0    |
|        35       | 12 |        66       |  False  |  4  |       1293       | 0.00016617774963378906 |    0.0    |
|        35       | 25 |       136       |  False  |  8  |       1454       | 0.0002079010009765625  |    0.0    |
|        35       | 50 |       227       |  False  |  17 |       1858       | 0.0002818107604980469  |    0.0    |
|        35       | 75 |       310       |  False  |  26 |       2144       | 0.00034499168395996094 |    0.0    |
|        36       | 12 |        71       |  False  |  4  |       1366       |  0.000179290771484375  |    0.0    |
|        36       | 25 |       143       |  False  |  9  |       1534       | 0.00021791458129882812 |    0.0    |
|        36       | 50 |       245       |  False  |  18 |       1911       | 0.00030803680419921875 |    0.0    |
|        36       | 75 |       322       |  False  |  27 |       2119       | 0.00033783912658691406 |    0.0    |
|        37       | 12 |        73       |  False  |  4  |       1444       | 0.00018095970153808594 |    0.0    |
|        37       | 25 |       144       |  False  |  9  |       1611       | 0.00022459030151367188 |    0.0    |
|        37       | 50 |       262       |  False  |  18 |       1994       | 0.00030684471130371094 |    0.0    |
|        37       | 75 |       346       |  False  |  27 |       2395       |  0.000370025634765625  |    0.0    |
|        38       | 12 |        78       |   True  |  4  |       400        | 5.602836608886719e-05  |    0.0    |
|        38       | 25 |       157       |  False  |  9  |       1730       | 0.00023412704467773438 |    0.0    |
|        38       | 50 |       266       |  False  |  19 |       2106       | 0.0003159046173095703  |    0.0    |
|        38       | 75 |       359       |  False  |  28 |       2441       | 0.0003807544708251953  |    0.0    |
|        39       | 12 |        82       |   True  |  4  |        74        | 1.3828277587890625e-05 |    0.0    |
|        39       | 25 |       158       |  False  |  9  |       1787       | 0.00024390220642089844 |    0.0    |
|        39       | 50 |       302       |  False  |  19 |       2300       | 0.0003478527069091797  |    0.0    |
|        39       | 75 |       384       |  False  |  29 |       2690       | 0.0004200935363769531  |    0.0    |
|        40       | 12 |        90       |   True  |  4  |       500        | 6.508827209472656e-05  |    0.0    |
|        40       | 25 |       166       |  False  |  10 |       1911       | 0.0002601146697998047  |    0.0    |
|        40       | 50 |       319       |  False  |  20 |       2475       |  0.00037384033203125   |    0.0    |
|        40       | 75 |       411       |  False  |  30 |       3023       | 0.0004611015319824219  |    0.0    |
|        41       | 12 |        94       |  False  |  4  |       1784       | 0.00022101402282714844 |    0.0    |
|        41       | 25 |       183       |  False  |  10 |       2020       | 0.0002810955047607422  |    0.0    |
|        41       | 50 |       326       |  False  |  20 |       2520       | 0.00039124488830566406 |    0.0    |
|        41       | 75 |       429       |  False  |  30 |       3008       | 0.0004780292510986328  |    0.0    |
|        42       | 12 |       100       |  False  |  5  |       1900       | 0.0002357959747314453  |    0.0    |
|        42       | 25 |       199       |  False  |  10 |       2172       | 0.00031113624572753906 |    0.0    |
|        42       | 50 |       344       |  False  |  21 |       2620       | 0.0004150867462158203  |    0.0    |
|        42       | 75 |       450       |  False  |  31 |       3286       | 0.0005156993865966797  |    0.0    |
|        43       | 12 |       103       |  False  |  5  |       1983       | 0.0002491474151611328  |    0.0    |
|        43       | 25 |       198       |  False  |  10 |       2223       | 0.0003211498260498047  |    0.0    |
|        43       | 50 |       354       |  False  |  21 |       2676       | 0.00043392181396484375 |    0.0    |
|        43       | 75 |       483       |  False  |  32 |       3416       | 0.0005433559417724609  |    0.0    |
|        44       | 12 |       108       |  False  |  5  |       2061       |  0.000263214111328125  |    0.0    |
|        44       | 25 |       215       |  False  |  11 |       2325       |  0.000331878662109375  |    0.0    |
|        44       | 50 |       380       |  False  |  22 |       2827       | 0.00045800209045410156 |    0.0    |
|        44       | 75 |       486       |  False  |  33 |       3395       | 0.0005650520324707031  |    0.0    |
|        45       | 12 |       114       |   True  |  5  |       249        | 3.600120544433594e-05  |    0.0    |
|        45       | 25 |       226       |  False  |  11 |       2457       | 0.00035309791564941406 |    0.0    |
|        45       | 50 |       377       |  False  |  22 |       2968       | 0.00047588348388671875 |    0.0    |
|        45       | 75 |       526       |  False  |  33 |       3764       | 0.0006210803985595703  |    0.0    |
|        46       | 12 |       116       |  False  |  5  |       2277       | 0.00028777122497558594 |    0.0    |
|        46       | 25 |       230       |  False  |  11 |       2531       | 0.0003631114959716797  |    0.0    |
|        46       | 50 |       400       |  False  |  23 |       3264       | 0.0005118846893310547  |    0.0    |
|        46       | 75 |       544       |  False  |  34 |       3759       | 0.0006372928619384766  |    0.0    |
|        47       | 12 |       124       |  False  |  5  |       2375       | 0.0002999305725097656  |    0.0    |
|        47       | 25 |       242       |  False  |  11 |       2625       | 0.00037980079650878906 |    0.0    |
|        47       | 50 |       430       |  False  |  23 |       3227       |   0.0005340576171875   |    0.0    |
|        47       | 75 |       570       |  False  |  35 |       3987       | 0.0006868839263916016  |    0.0    |
