+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
|        11       |  25  |        14       |  12.5 | 1  |     False      |        27        |  3.62396240234375e-05  |    0.0    |
|        11       |  25  |        14       |   25  | 2  |      True      |        27        | 3.1948089599609375e-05 |    0.0    |
|        11       |  25  |        14       |   50  | 5  |     False      |        27        | 2.9802322387695312e-05 |    0.0    |
|        11       |  25  |        14       |   75  | 8  |     False      |        27        | 2.6941299438476562e-05 |    0.0    |
|        11       |  50  |        28       |  12.5 | 1  |     False      |        34        | 4.696846008300781e-05  |    0.0    |
|        11       |  50  |        28       |   25  | 2  |      True      |        34        | 3.5762786865234375e-05 |    0.0    |
|        11       |  50  |        28       |   50  | 5  |     False      |        34        | 3.504753112792969e-05  |    0.0    |
|        11       |  50  |        28       |   75  | 8  |     False      |        34        | 3.2901763916015625e-05 |    0.0    |
|        11       |  75  |        41       |  12.5 | 1  |     False      |        54        | 5.793571472167969e-05  |    0.0    |
|        11       |  75  |        41       |   25  | 2  |     False      |        54        | 5.1975250244140625e-05 |    0.0    |
|        11       |  75  |        41       |   50  | 5  |      True      |        54        | 4.887580871582031e-05  |    0.0    |
|        11       |  75  |        41       |   75  | 8  |     False      |        54        | 4.887580871582031e-05  |    0.0    |
|        12       | 12.5 |        8        |  12.5 | 1  |     False      |        18        | 2.193450927734375e-05  |    0.0    |
|        12       | 12.5 |        8        |   25  | 3  |     False      |        18        |  2.09808349609375e-05  |    0.0    |
|        12       | 12.5 |        8        |   50  | 6  |     False      |        18        | 1.9311904907226562e-05 |    0.0    |
|        12       | 12.5 |        8        |   75  | 9  |     False      |        18        | 1.7881393432617188e-05 |    0.0    |
|        12       |  25  |        16       |  12.5 | 1  |     False      |        29        | 3.2901763916015625e-05 |    0.0    |
|        12       |  25  |        16       |   25  | 3  |      True      |        29        | 2.9325485229492188e-05 |    0.0    |
|        12       |  25  |        16       |   50  | 6  |     False      |        29        | 3.1948089599609375e-05 |    0.0    |
|        12       |  25  |        16       |   75  | 9  |     False      |        29        | 2.9325485229492188e-05 |    0.0    |
|        12       |  50  |        33       |  12.5 | 1  |     False      |        47        | 4.982948303222656e-05  |    0.0    |
|        12       |  50  |        33       |   25  | 3  |      True      |        47        | 4.887580871582031e-05  |    0.0    |
|        12       |  50  |        33       |   50  | 6  |     False      |        47        | 4.7206878662109375e-05 |    0.0    |
|        12       |  50  |        33       |   75  | 9  |     False      |        47        | 4.220008850097656e-05  |    0.0    |
|        12       |  75  |        50       |  12.5 | 1  |     False      |        68        |  6.67572021484375e-05  |    0.0    |
|        12       |  75  |        50       |   25  | 3  |      True      |        68        | 6.127357482910156e-05  |    0.0    |
|        12       |  75  |        50       |   50  | 6  |     False      |        68        | 5.888938903808594e-05  |    0.0    |
|        12       |  75  |        50       |   75  | 9  |     False      |        68        | 5.793571472167969e-05  |    0.0    |
|        13       | 12.5 |        10       |  12.5 | 1  |     False      |        22        | 2.6941299438476562e-05 |    0.0    |
|        13       | 12.5 |        10       |   25  | 3  |     False      |        22        |   2.288818359375e-05   |    0.0    |
|        13       | 12.5 |        10       |   50  | 6  |     False      |        22        | 2.574920654296875e-05  |    0.0    |
|        13       | 12.5 |        10       |   75  | 9  |     False      |        22        | 2.1219253540039062e-05 |    0.0    |
|        13       |  25  |        20       |  12.5 | 1  |     False      |        33        | 3.600120544433594e-05  |    0.0    |
|        13       |  25  |        20       |   25  | 3  |      True      |        33        | 3.504753112792969e-05  |    0.0    |
|        13       |  25  |        20       |   50  | 6  |     False      |        33        | 3.1948089599609375e-05 |    0.0    |
|        13       |  25  |        20       |   75  | 9  |     False      |        33        | 3.3855438232421875e-05 |    0.0    |
|        13       |  50  |        39       |  12.5 | 1  |     False      |        57        |    6.103515625e-05     |    0.0    |
|        13       |  50  |        39       |   25  | 3  |      True      |        57        |  5.91278076171875e-05  |    0.0    |
|        13       |  50  |        39       |   50  | 6  |     False      |        57        | 5.1975250244140625e-05 |    0.0    |
|        13       |  50  |        39       |   75  | 9  |     False      |        57        | 4.982948303222656e-05  |    0.0    |
|        13       |  75  |        58       |  12.5 | 1  |     False      |        98        | 9.608268737792969e-05  |    0.0    |
|        13       |  75  |        58       |   25  | 3  |      True      |        98        |   8.392333984375e-05   |    0.0    |
|        13       |  75  |        58       |   50  | 6  |     False      |        98        |   8.392333984375e-05   |    0.0    |
|        13       |  75  |        58       |   75  | 9  |     False      |        98        | 7.987022399902344e-05  |    0.0    |
|        14       | 12.5 |        11       |  12.5 | 1  |     False      |        24        | 2.8133392333984375e-05 |    0.0    |
|        14       | 12.5 |        11       |   25  | 3  |     False      |        24        | 2.384185791015625e-05  |    0.0    |
|        14       | 12.5 |        11       |   50  | 7  |     False      |        24        | 2.3126602172851562e-05 |    0.0    |
|        14       | 12.5 |        11       |   75  | 10 |     False      |        24        |   2.288818359375e-05   |    0.0    |
|        14       |  25  |        23       |  12.5 | 1  |     False      |        38        | 4.100799560546875e-05  |    0.0    |
|        14       |  25  |        23       |   25  | 3  |      True      |        38        | 4.029273986816406e-05  |    0.0    |
|        14       |  25  |        23       |   50  | 7  |     False      |        38        | 3.504753112792969e-05  |    0.0    |
|        14       |  25  |        23       |   75  | 10 |     False      |        38        | 3.4809112548828125e-05 |    0.0    |
|        14       |  50  |        46       |  12.5 | 1  |     False      |        67        | 6.723403930664062e-05  |    0.0    |
|        14       |  50  |        46       |   25  | 3  |      True      |        67        | 5.984306335449219e-05  |    0.0    |
|        14       |  50  |        46       |   50  | 7  |     False      |        67        | 5.817413330078125e-05  |    0.0    |
|        14       |  50  |        46       |   75  | 10 |     False      |        67        | 5.5789947509765625e-05 |    0.0    |
|        14       |  75  |        68       |  12.5 | 1  |     False      |       106        |  0.000102996826171875  |    0.0    |
|        14       |  75  |        68       |   25  | 3  |      True      |       106        | 9.393692016601562e-05  |    0.0    |
|        14       |  75  |        68       |   50  | 7  |     False      |       106        | 9.393692016601562e-05  |    0.0    |
|        14       |  75  |        68       |   75  | 10 |     False      |       106        |  8.7738037109375e-05   |    0.0    |
|        15       | 12.5 |        13       |  12.5 | 1  |     False      |        28        | 3.0994415283203125e-05 |    0.0    |
|        15       | 12.5 |        13       |   25  | 3  |     False      |        28        | 2.7894973754882812e-05 |    0.0    |
|        15       | 12.5 |        13       |   50  | 7  |     False      |        28        | 2.7179718017578125e-05 |    0.0    |
|        15       | 12.5 |        13       |   75  | 11 |     False      |        28        | 2.574920654296875e-05  |    0.0    |
|        15       |  25  |        26       |  12.5 | 1  |     False      |        45        | 4.673004150390625e-05  |    0.0    |
|        15       |  25  |        26       |   25  | 3  |      True      |        45        | 5.626678466796875e-05  |    0.0    |
|        15       |  25  |        26       |   50  | 7  |     False      |        45        | 4.100799560546875e-05  |    0.0    |
|        15       |  25  |        26       |   75  | 11 |     False      |        45        |  4.1961669921875e-05   |    0.0    |
|        15       |  50  |        52       |  12.5 | 1  |     False      |        72        | 7.104873657226562e-05  |    0.0    |
|        15       |  50  |        52       |   25  | 3  |      True      |        72        | 7.891654968261719e-05  |    0.0    |
|        15       |  50  |        52       |   50  | 7  |     False      |        72        | 6.389617919921875e-05  |    0.0    |
|        15       |  50  |        52       |   75  | 11 |     False      |        72        |    6.103515625e-05     |    0.0    |
|        15       |  75  |        79       |  12.5 | 1  |     False      |       109        | 0.00010609626770019531 |    0.0    |
|        15       |  75  |        79       |   25  | 3  |      True      |       109        | 9.703636169433594e-05  |    0.0    |
|        15       |  75  |        79       |   50  | 7  |     False      |       109        | 9.274482727050781e-05  |    0.0    |
|        15       |  75  |        79       |   75  | 11 |     False      |       109        | 9.322166442871094e-05  |    0.0    |
