Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
44,75,494,6,4653,0.0037348270416259766,0.0
45,12,115,2,186,0.0001881122589111328,0.0
45,25,218,3,456,0.0003979206085205078,0.0
45,50,396,4,1493,0.0013151168823242188,0.0
45,75,522,6,4653,0.00391697883605957,0.0
46,12,119,2,199,0.00023317337036132812,0.0
46,25,221,3,414,0.0003619194030761719,0.0
46,50,401,4,1571,0.0013349056243896484,0.0
46,75,554,5,5113,0.004182100296020508,0.0
47,12,124,2,199,0.00022912025451660156,0.0
47,25,229,2,448,0.000392913818359375,0.0
47,50,439,5,1924,0.0016210079193115234,0.0
47,75,569,6,5419,0.0042171478271484375,0.0
48,12,129,2,202,0.00019931793212890625,0.0
48,25,238,2,458,0.00039196014404296875,0.0
48,50,446,4,1822,0.0015370845794677734,0.0
48,75,590,6,5364,0.00419306755065918,0.0
49,12,130,2,207,0.00021076202392578125,0.0
49,25,254,3,499,0.00043201446533203125,0.0
49,50,468,5,2109,0.0016987323760986328,0.0
49,75,636,6,8438,0.0063381195068359375,0.0
50,12,141,2,222,0.00022602081298828125,0.0
50,25,276,3,556,0.00046706199645996094,0.0
50,50,472,4,1792,0.001481771469116211,0.0
50,75,637,5,5790,0.00441288948059082,0.0
51,12,144,2,227,0.000225067138671875,0.0
51,25,287,3,588,0.0004971027374267578,0.0
51,50,508,4,2402,0.0019140243530273438,0.0
51,75,673,5,8160,0.0061566829681396484,0.0
52,12,149,2,255,0.00025177001953125,0.0
52,25,291,3,602,0.0005168914794921875,0.0
52,50,543,5,2460,0.0019299983978271484,0.0
52,75,687,6,7226,0.005588054656982422,0.0
53,12,160,2,260,0.00025177001953125,0.0
53,25,297,3,577,0.0004870891571044922,0.0
53,50,549,4,2647,0.0021212100982666016,0.0
53,75,727,6,8538,0.006636142730712891,0.0
54,12,164,2,274,0.0002751350402832031,0.0
54,25,320,3,610,0.0005240440368652344,0.0
54,50,567,5,2973,0.0024242401123046875,0.0
54,75,773,6,10741,0.008079767227172852,0.0
55,12,169,2,282,0.00029015541076660156,0.0
55,25,327,3,677,0.0005891323089599609,0.0
55,50,581,4,2765,0.002315998077392578,0.0
55,75,796,6,10456,0.008027076721191406,0.0
56,12,176,2,303,0.0003008842468261719,0.0
56,25,336,3,666,0.00057220458984375,0.0
56,50,607,5,3214,0.00251007080078125,0.0
56,75,818,7,11127,0.00850987434387207,0.0
57,12,184,2,303,0.0002989768981933594,0.0
57,25,350,3,748,0.0006341934204101562,0.0
57,50,622,4,3054,0.002547025680541992,0.0
57,75,832,5,9920,0.007625102996826172,0.0
58,12,191,2,320,0.00032401084899902344,0.0
58,25,359,3,727,0.0006120204925537109,0.0
58,50,655,5,3579,0.0028946399688720703,0.0
58,75,850,6,10771,0.008323907852172852,0.0
59,12,192,2,310,0.00030493736267089844,0.0
59,25,378,3,845,0.0007269382476806641,0.0
59,50,666,5,3575,0.0028879642486572266,0.0
59,75,892,6,13094,0.009841203689575195,0.0
60,12,198,2,335,0.0003459453582763672,0.0
