+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        15       |  75  |        79       |   12  | 1  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        15       |  75  |        79       |   25  | 3  |      True      |        6         | 1.4781951904296875e-05 |  0.0   |
|        15       |  75  |        79       |   50  | 7  |     False      |       361        | 6.890296936035156e-05  |  0.0   |
|        15       |  75  |        79       |   75  | 11 |     False      |       361        | 0.00012087821960449219 |  0.0   |
|        16       | 12.5 |        15       |   12  | 1  |      True      |        1         |  5.7220458984375e-06   |  0.0   |
|        16       | 12.5 |        15       |   25  | 4  |     False      |       270        | 3.981590270996094e-05  |  0.0   |
|        16       | 12.5 |        15       |   50  | 8  |     False      |       270        | 7.295608520507812e-05  |  0.0   |
|        16       | 12.5 |        15       |   75  | 12 |     False      |       270        | 0.00010585784912109375 |  0.0   |
|        16       |  25  |        30       |   12  | 1  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        16       |  25  |        30       |   25  | 4  |     False      |       292        | 4.601478576660156e-05  |  0.0   |
|        16       |  25  |        30       |   50  | 8  |     False      |       292        |   8.392333984375e-05   |  0.0   |
|        16       |  25  |        30       |   75  | 12 |     False      |       292        | 0.00012183189392089844 |  0.0   |
|        16       |  50  |        60       |   12  | 1  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
|        16       |  50  |        60       |   25  | 4  |      True      |        9         | 1.3113021850585938e-05 |  0.0   |
|        16       |  50  |        60       |   50  | 8  |     False      |       357        | 6.318092346191406e-05  |  0.0   |
|        16       |  50  |        60       |   75  | 12 |     False      |       357        | 0.00011205673217773438 |  0.0   |
|        16       |  75  |        90       |   12  | 1  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        16       |  75  |        90       |   25  | 4  |      True      |        11        | 1.4066696166992188e-05 |  0.0   |
|        16       |  75  |        90       |   50  | 8  |     False      |       443        | 7.796287536621094e-05  |  0.0   |
|        16       |  75  |        90       |   75  | 12 |     False      |       443        | 0.00013899803161621094 |  0.0   |
|        17       | 12.5 |        17       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        17       | 12.5 |        17       |   25  | 4  |     False      |       306        | 4.482269287109375e-05  |  0.0   |
|        17       | 12.5 |        17       |   50  | 8  |     False      |       306        |  8.20159912109375e-05  |  0.0   |
|        17       | 12.5 |        17       |   75  | 12 |     False      |       306        | 0.00011897087097167969 |  0.0   |
|        17       |  25  |        34       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
