+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
|        13       |  75  |        58       |   25  | 3  |      True      |        98        | 8.296966552734375e-05  |    0.0    |
|        13       |  75  |        58       |   50  | 6  |     False      |        98        | 8.082389831542969e-05  |    0.0    |
|        13       |  75  |        58       |   75  | 9  |     False      |        98        | 7.915496826171875e-05  |    0.0    |
|        14       | 12.5 |        11       |  12.5 | 1  |      True      |        24        | 2.574920654296875e-05  |    0.0    |
|        14       | 12.5 |        11       |   25  | 3  |     False      |        24        |   2.288818359375e-05   |    0.0    |
|        14       | 12.5 |        11       |   50  | 7  |     False      |        24        | 2.3126602172851562e-05 |    0.0    |
|        14       | 12.5 |        11       |   75  | 10 |     False      |        24        | 2.193450927734375e-05  |    0.0    |
|        14       |  25  |        23       |  12.5 | 1  |      True      |        38        | 3.886222839355469e-05  |    0.0    |
|        14       |  25  |        23       |   25  | 3  |      True      |        38        |  3.62396240234375e-05  |    0.0    |
|        14       |  25  |        23       |   50  | 7  |     False      |        38        | 3.504753112792969e-05  |    0.0    |
|        14       |  25  |        23       |   75  | 10 |     False      |        38        | 3.2901763916015625e-05 |    0.0    |
|        14       |  50  |        46       |  12.5 | 1  |      True      |        67        | 6.413459777832031e-05  |    0.0    |
|        14       |  50  |        46       |   25  | 3  |      True      |        67        | 5.888938903808594e-05  |    0.0    |
|        14       |  50  |        46       |   50  | 7  |     False      |        67        |  5.7220458984375e-05   |    0.0    |
|        14       |  50  |        46       |   75  | 10 |     False      |        67        | 5.507469177246094e-05  |    0.0    |
|        14       |  75  |        68       |  12.5 | 1  |      True      |       106        | 0.00010323524475097656 |    0.0    |
|        14       |  75  |        68       |   25  | 3  |      True      |       106        | 9.393692016601562e-05  |    0.0    |
|        14       |  75  |        68       |   50  | 7  |     False      |       106        | 8.988380432128906e-05  |    0.0    |
|        14       |  75  |        68       |   75  | 10 |     False      |       106        | 8.797645568847656e-05  |    0.0    |
|        15       | 12.5 |        13       |  12.5 | 1  |      True      |        28        | 2.9087066650390625e-05 |    0.0    |
|        15       | 12.5 |        13       |   25  | 3  |     False      |        28        | 2.5987625122070312e-05 |    0.0    |
|        15       | 12.5 |        13       |   50  | 7  |     False      |        28        | 2.5033950805664062e-05 |    0.0    |
|        15       | 12.5 |        13       |   75  | 11 |     False      |        28        | 2.5033950805664062e-05 |    0.0    |
|        15       |  25  |        26       |  12.5 | 1  |      True      |        45        | 4.506111145019531e-05  |    0.0    |
|        15       |  25  |        26       |   25  | 3  |      True      |        45        | 4.076957702636719e-05  |    0.0    |
|        15       |  25  |        26       |   50  | 7  |     False      |        45        | 3.933906555175781e-05  |    0.0    |
|        15       |  25  |        26       |   75  | 11 |     False      |        45        | 3.790855407714844e-05  |    0.0    |
|        15       |  50  |        52       |  12.5 | 1  |      True      |        72        | 6.914138793945312e-05  |    0.0    |
|        15       |  50  |        52       |   25  | 3  |      True      |        72        | 6.389617919921875e-05  |    0.0    |
|        15       |  50  |        52       |   50  | 7  |     False      |        72        |    6.103515625e-05     |    0.0    |
|        15       |  50  |        52       |   75  | 11 |     False      |        72        | 5.984306335449219e-05  |    0.0    |
|        15       |  75  |        79       |  12.5 | 1  |      True      |       109        | 0.00010204315185546875 |    0.0    |
|        15       |  75  |        79       |   25  | 3  |      True      |       109        | 9.608268737792969e-05  |    0.0    |
|        15       |  75  |        79       |   50  | 7  |     False      |       109        | 9.417533874511719e-05  |    0.0    |
|        15       |  75  |        79       |   75  | 11 |     False      |       109        | 9.584426879882812e-05  |    0.0    |
|        16       | 12.5 |        15       |  12.5 | 2  |      True      |        32        | 3.1948089599609375e-05 |    0.0    |
|        16       | 12.5 |        15       |   25  | 4  |     False      |        32        | 3.0994415283203125e-05 |    0.0    |
|        16       | 12.5 |        15       |   50  | 8  |     False      |        32        | 2.7894973754882812e-05 |    0.0    |
|        16       | 12.5 |        15       |   75  | 12 |     False      |        32        | 2.7894973754882812e-05 |    0.0    |
|        16       |  25  |        30       |  12.5 | 2  |      True      |        43        | 4.291534423828125e-05  |    0.0    |
|        16       |  25  |        30       |   25  | 4  |     False      |        43        | 4.100799560546875e-05  |    0.0    |
|        16       |  25  |        30       |   50  | 8  |     False      |        43        | 3.933906555175781e-05  |    0.0    |
|        16       |  25  |        30       |   75  | 12 |     False      |        43        | 3.7670135498046875e-05 |    0.0    |
|        16       |  50  |        60       |  12.5 | 2  |      True      |        84        |  8.20159912109375e-05  |    0.0    |
|        16       |  50  |        60       |   25  | 4  |      True      |        84        | 7.510185241699219e-05  |    0.0    |
|        16       |  50  |        60       |   50  | 8  |     False      |        84        | 7.295608520507812e-05  |    0.0    |
|        16       |  50  |        60       |   75  | 12 |     False      |        84        |  8.0108642578125e-05   |    0.0    |
|        16       |  75  |        90       |  12.5 | 2  |     False      |       169        | 0.0001499652862548828  |    0.0    |
|        16       |  75  |        90       |   25  | 4  |      True      |       169        |  0.000141143798828125  |    0.0    |
|        16       |  75  |        90       |   50  | 8  |     False      |       169        | 0.0001380443572998047  |    0.0    |
|        16       |  75  |        90       |   75  | 12 |     False      |       169        | 0.00013589859008789062 |    0.0    |
|        17       | 12.5 |        17       |  12.5 | 2  |      True      |        35        | 3.504753112792969e-05  |    0.0    |
|        17       | 12.5 |        17       |   25  | 4  |     False      |        35        | 3.218650817871094e-05  |    0.0    |
|        17       | 12.5 |        17       |   50  | 8  |     False      |        35        | 2.9802322387695312e-05 |    0.0    |
|        17       | 12.5 |        17       |   75  | 12 |     False      |        35        | 2.9802322387695312e-05 |    0.0    |
|        17       |  25  |        34       |  12.5 | 2  |      True      |        53        | 5.1975250244140625e-05 |    0.0    |
