+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |                 Cliques                  | Different k |          Time          |
|        30       | 50 |       173       |             [2, 3, 4, 5, 6]              |      5      | 0.0005047321319580078  |
|        30       | 75 |       224       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0008981227874755859  |
|        31       | 12 |        52       |                [2, 3, 4]                 |      3      |    0.00018310546875    |
|        31       | 25 |       107       |               [2, 3, 4, 5]               |      4      | 0.0003058910369873047  |
|        31       | 50 |       193       |             [2, 3, 4, 5, 6]              |      5      | 0.0005507469177246094  |
|        31       | 75 |       244       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0009012222290039062  |
|        32       | 12 |        53       |                [2, 3, 4]                 |      3      | 0.00018787384033203125 |
|        32       | 25 |       108       |             [2, 3, 4, 5, 6]              |      5      | 0.0003566741943359375  |
|        32       | 50 |       198       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0006439685821533203  |
|        32       | 75 |       271       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |   0.0012969970703125   |
|        33       | 12 |        59       |               [2, 3, 4, 5]               |      4      |   0.0002288818359375   |
|        33       | 25 |       121       |             [2, 3, 4, 5, 6]              |      5      | 0.0004620552062988281  |
|        33       | 50 |       207       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0006899833679199219  |
|        33       | 75 |       274       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0012669563293457031  |
|        34       | 12 |        64       |                [2, 3, 4]                 |      3      | 0.00022792816162109375 |
|        34       | 25 |       120       |             [2, 3, 4, 5, 6]              |      5      | 0.0003581047058105469  |
|        34       | 50 |       227       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0007460117340087891  |
|        34       | 75 |       296       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      | 0.0013718605041503906  |
|        35       | 12 |        71       |                [2, 3, 4]                 |      3      | 0.0002448558807373047  |
|        35       | 25 |       134       |               [2, 3, 4, 5]               |      4      | 0.00041294097900390625 |
|        35       | 50 |       235       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0009210109710693359  |
