+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
|       152       | 12 |       1303      |            [2, 3, 4, 5]            |      4      |  0.002801179885864258  |
|       152       | 25 |       2539      |          [2, 3, 4, 5, 6]           |      5      |  0.010329246520996094  |
|       152       | 50 |       4543      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.10114121437072754   |
|       152       | 75 |       6034      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.7831521034240723   |
|       153       | 12 |       1312      |            [2, 3, 4, 5]            |      4      |  0.002719879150390625  |
|       153       | 25 |       2559      |          [2, 3, 4, 5, 6]           |      5      |  0.01051187515258789   |
|       153       | 50 |       4605      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.1068260669708252   |
|       153       | 75 |       6124      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.8250131607055664   |
|       154       | 12 |       1332      |            [2, 3, 4, 5]            |      4      | 0.0029611587524414062  |
|       154       | 25 |       2608      |            [3, 4, 5, 6]            |      4      |  0.011310100555419922  |
|       154       | 50 |       4625      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.10184812545776367   |
|       154       | 75 |       6231      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.8788001537322998   |
|       155       | 12 |       1363      |            [2, 3, 4, 5]            |      4      | 0.0030868053436279297  |
|       155       | 25 |       2676      |            [3, 4, 5, 6]            |      4      |  0.011999845504760742  |
|       155       | 50 |       4730      |     [3, 4, 5, 6, 7, 8, 9, 10]      |      8      |  0.11494326591491699   |
|       155       | 75 |       6295      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.8988409042358398   |
|       156       | 12 |       1363      |            [2, 3, 4, 5]            |      4      | 0.0029387474060058594  |
|       156       | 25 |       2679      |          [2, 3, 4, 5, 6]           |      5      |  0.011594057083129883  |
|       156       | 50 |       4773      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.11498808860778809   |
|       156       | 75 |       6379      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.9444169998168945   |
|       157       | 12 |       1395      |            [2, 3, 4, 5]            |      4      |  0.003057241439819336  |
|       157       | 25 |       2717      |          [2, 3, 4, 5, 6]           |      5      |  0.011983156204223633  |
|       157       | 50 |       4825      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.11425518989562988   |
|       157       | 75 |       6464      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.9452071189880371   |
|       158       | 12 |       1402      |            [2, 3, 4, 5]            |      4      | 0.0029489994049072266  |
|       158       | 25 |       2745      |            [3, 4, 5, 6]            |      4      |  0.012113094329833984  |
|       158       | 50 |       4894      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.12216591835021973   |
|       158       | 75 |       6563      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   1.0421137809753418   |
|       159       | 12 |       1419      |            [2, 3, 4, 5]            |      4      | 0.0031189918518066406  |
|       159       | 25 |       2776      |          [2, 3, 4, 5, 6]           |      5      |  0.012371301651000977  |
|       159       | 50 |       4931      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.1197960376739502   |
|       159       | 75 |       6619      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   1.028061866760254    |
|       160       | 12 |       1454      |            [2, 3, 4, 5]            |      4      | 0.0032019615173339844  |
|       160       | 25 |       2807      |          [2, 3, 4, 5, 6]           |      5      |  0.012728691101074219  |
|       160       | 50 |       4976      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.12414312362670898   |
|       160       | 75 |       6728      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.0702369213104248   |
|       161       | 12 |       1445      |            [2, 3, 4, 5]            |      4      |  0.003175973892211914  |
|       161       | 25 |       2837      |          [2, 3, 4, 5, 6]           |      5      |  0.012643814086914062  |
|       161       | 50 |       5086      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.1309659481048584   |
|       161       | 75 |       6811      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   1.1444990634918213   |
|       162       | 12 |       1476      |            [2, 3, 4, 5]            |      4      | 0.0032498836517333984  |
|       162       | 25 |       2877      |          [2, 3, 4, 5, 6]           |      5      |  0.01289987564086914   |
|       162       | 50 |       5122      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.13251018524169922   |
|       162       | 75 |       6864      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   1.1467480659484863   |
|       163       | 12 |       1490      |            [2, 3, 4, 5]            |      4      |  0.003354787826538086  |
|       163       | 25 |       2937      |            [3, 4, 5, 6]            |      4      |  0.014234066009521484  |
|       163       | 50 |       5197      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.13709783554077148   |
|       163       | 75 |       6959      |      [5, 6, 7, 8, 9, 10, 11]       |      7      |   1.1886358261108398   |
|       164       | 12 |       1503      |            [2, 3, 4, 5]            |      4      |  0.003370046615600586  |
|       164       | 25 |       2962      |          [2, 3, 4, 5, 6]           |      5      |  0.014462947845458984  |
|       164       | 50 |       5274      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.14721012115478516   |
|       164       | 75 |       7034      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.2363548278808594   |
|       165       | 12 |       1538      |            [2, 3, 4, 5]            |      4      |  0.003565073013305664  |
|       165       | 25 |       3009      |            [3, 4, 5, 6]            |      4      |  0.014462947845458984  |
|       165       | 50 |       5377      |          [4, 5, 6, 7, 8]           |      5      |   0.1546618938446045   |
|       165       | 75 |       7206      | [4, 5, 6, 7, 8, 9, 10, 11, 12, 13] |      10     |   1.3236029148101807   |
|       166       | 12 |       1551      |            [2, 3, 4, 5]            |      4      | 0.0036411285400390625  |
|       166       | 25 |       3034      |            [3, 4, 5, 6]            |      4      |  0.015120983123779297  |
|       166       | 50 |       5413      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.16197490692138672   |
|       166       | 75 |       7229      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   1.3017730712890625   |
|       167       | 12 |       1563      |          [2, 3, 4, 5, 6]           |      5      | 0.0036170482635498047  |
|       167       | 25 |       3060      |          [2, 3, 4, 5, 6]           |      5      |  0.014764070510864258  |
|       167       | 50 |       5463      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.1557631492614746   |
|       167       | 75 |       7305      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.3384959697723389   |
|       168       | 12 |       1595      |            [2, 3, 4, 5]            |      4      |  0.003595113754272461  |
|       168       | 25 |       3124      |            [3, 4, 5, 6]            |      4      |  0.015122175216674805  |
|       168       | 50 |       5576      |         [4, 5, 6, 7, 8, 9]         |      6      |   0.1676778793334961   |
|       168       | 75 |       7414      |      [5, 6, 7, 8, 9, 10, 11]       |      7      |   1.4133529663085938   |
|       169       | 12 |       1617      |            [2, 3, 4, 5]            |      4      |  0.00370025634765625   |
|       169       | 25 |       3169      |            [3, 4, 5, 6]            |      4      |  0.015847206115722656  |
|       169       | 50 |       5617      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.16515588760375977   |
|       169       | 75 |       7488      |      [5, 6, 7, 8, 9, 10, 11]       |      7      |   1.4332151412963867   |
|       170       | 12 |       1624      |            [2, 3, 4, 5]            |      4      | 0.0037331581115722656  |
|       170       | 25 |       3185      |            [3, 4, 5, 6]            |      4      |   0.0156400203704834   |
|       170       | 50 |       5644      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.17247414588928223   |
|       170       | 75 |       7550      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   1.454758882522583    |
|       171       | 12 |       1631      |            [2, 3, 4, 5]            |      4      | 0.0038220882415771484  |
|       171       | 25 |       3231      |          [2, 3, 4, 5, 6]           |      5      |  0.016386985778808594  |
|       171       | 50 |       5738      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.17622017860412598   |
|       171       | 75 |       7646      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.5332789421081543   |
|       172       | 12 |       1646      |            [2, 3, 4, 5]            |      4      | 0.0038268566131591797  |
|       172       | 25 |       3260      |          [2, 3, 4, 5, 6]           |      5      |  0.016466856002807617  |
|       172       | 50 |       5806      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.18193292617797852   |
|       172       | 75 |       7791      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   1.7160429954528809   |
|       173       | 12 |       1667      |            [2, 3, 4, 5]            |      4      | 0.0038678646087646484  |
|       173       | 25 |       3299      |            [3, 4, 5, 6]            |      4      |  0.016922950744628906  |
|       173       | 50 |       5876      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.1884620189666748   |
|       173       | 75 |       7858      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.706111192703247    |
|       174       | 12 |       1691      |            [2, 3, 4, 5]            |      4      |  0.003906965255737305  |
|       174       | 25 |       3345      |          [2, 3, 4, 5, 6]           |      5      |  0.017368078231811523  |
|       174       | 50 |       5937      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.19680309295654297   |
|       174       | 75 |       7949      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   1.8182380199432373   |
|       175       | 12 |       1706      |            [2, 3, 4, 5]            |      4      |  0.004004001617431641  |
|       175       | 25 |       3368      |          [3, 4, 5, 6, 7]           |      5      |  0.017358064651489258  |
|       175       | 50 |       5966      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.18773603439331055   |
|       175       | 75 |       8017      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   1.7671420574188232   |
|       176       | 12 |       1739      |            [2, 3, 4, 5]            |      4      | 0.0040891170501708984  |
|       176       | 25 |       3428      |            [3, 4, 5, 6]            |      4      |  0.017868995666503906  |
|       176       | 50 |       6089      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.20661497116088867   |
|       176       | 75 |       8129      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.8632910251617432   |
|       177       | 12 |       1755      |            [2, 3, 4, 5]            |      4      |  0.004136085510253906  |
|       177       | 25 |       3433      |          [2, 3, 4, 5, 6]           |      5      |  0.018221139907836914  |
|       177       | 50 |       6144      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.20784521102905273   |
|       177       | 75 |       8241      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   1.982280969619751    |
|       178       | 12 |       1780      |            [2, 3, 4, 5]            |      4      |  0.004376888275146484  |
|       178       | 25 |       3481      |          [3, 4, 5, 6, 7]           |      5      |  0.019864797592163086  |
|       178       | 50 |       6185      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.19784307479858398   |
|       178       | 75 |       8293      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   1.9063301086425781   |
|       179       | 12 |       1791      |            [2, 3, 4, 5]            |      4      |  0.004361391067504883  |
|       179       | 25 |       3524      |          [2, 3, 4, 5, 6]           |      5      |  0.018863916397094727  |
|       179       | 50 |       6282      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.21942496299743652   |
|       179       | 75 |       8395      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   1.974435806274414    |
|       180       | 12 |       1823      |            [2, 3, 4, 5]            |      4      |  0.004312992095947266  |
|       180       | 25 |       3567      |         [2, 3, 4, 5, 6, 7]         |      6      |  0.018903017044067383  |
|       180       | 50 |       6336      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.21212387084960938   |
|       180       | 75 |       8460      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   1.9608628749847412   |
|       181       | 12 |       1829      |            [2, 3, 4, 5]            |      4      |   0.0047149658203125   |
|       181       | 25 |       3601      |            [3, 4, 5, 6]            |      4      |  0.021756887435913086  |
|       181       | 50 |       6461      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.23335695266723633   |
|       181       | 75 |       8598      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.172348737716675    |
|       182       | 12 |       1848      |            [2, 3, 4, 5]            |      4      |  0.004357099533081055  |
|       182       | 25 |       3639      |            [3, 4, 5, 6]            |      4      |  0.019482135772705078  |
|       182       | 50 |       6479      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.22591114044189453   |
|       182       | 75 |       8660      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.1512842178344727   |
|       183       | 12 |       1891      |            [2, 3, 4, 5]            |      4      |  0.004452705383300781  |
|       183       | 25 |       3701      |          [3, 4, 5, 6, 7]           |      5      |  0.019950151443481445  |
|       183       | 50 |       6578      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.24496197700500488   |
|       183       | 75 |       8787      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.3285911083221436   |
|       184       | 12 |       1901      |            [2, 3, 4, 5]            |      4      | 0.0047380924224853516  |
|       184       | 25 |       3733      |            [3, 4, 5, 6]            |      4      |  0.020467042922973633  |
|       184       | 50 |       6619      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.23484301567077637   |
|       184       | 75 |       8874      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.343161106109619    |
|       185       | 12 |       1929      |            [2, 3, 4, 5]            |      4      |  0.00450897216796875   |
|       185       | 25 |       3761      |          [3, 4, 5, 6, 7]           |      5      |  0.02009415626525879   |
|       185       | 50 |       6667      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.22824788093566895   |
|       185       | 75 |       8872      | [4, 5, 6, 7, 8, 9, 10, 11, 12, 13] |      10     |   2.0593161582946777   |
|       186       | 12 |       1944      |            [2, 3, 4, 5]            |      4      |  0.004611015319824219  |
|       186       | 25 |       3793      |            [3, 4, 5, 6]            |      4      |  0.020827054977416992  |
|       186       | 50 |       6756      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.23988676071166992   |
|       186       | 75 |       9022      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   2.344419002532959    |
|       187       | 12 |       1958      |            [2, 3, 4, 5]            |      4      | 0.0048236846923828125  |
|       187       | 25 |       3855      |          [3, 4, 5, 6, 7]           |      5      |  0.02154684066772461   |
|       187       | 50 |       6895      |         [4, 5, 6, 7, 8, 9]         |      6      |   0.2688179016113281   |
|       187       | 75 |       9185      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.6730101108551025   |
|       188       | 12 |       1972      |            [2, 3, 4, 5]            |      4      | 0.0046579837799072266  |
|       188       | 25 |       3900      |          [3, 4, 5, 6, 7]           |      5      |  0.02193307876586914   |
|       188       | 50 |       6949      |         [4, 5, 6, 7, 8, 9]         |      6      |   0.2696669101715088   |
|       188       | 75 |       9278      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.634157180786133    |
|       189       | 12 |       2011      |            [2, 3, 4, 5]            |      4      |  0.004795074462890625  |
|       189       | 25 |       3956      |            [3, 4, 5, 6]            |      4      |  0.022643089294433594  |
|       189       | 50 |       7043      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.27335572242736816   |
|       189       | 75 |       9385      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.830124855041504    |
|       190       | 12 |       2022      |            [2, 3, 4, 5]            |      4      |  0.004716157913208008  |
|       190       | 25 |       3966      |            [3, 4, 5, 6]            |      4      |  0.022127151489257812  |
|       190       | 50 |       7077      |     [3, 4, 5, 6, 7, 8, 9, 10]      |      8      |   0.3103220462799072   |
|       190       | 75 |       9468      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   2.9730608463287354   |
|       191       | 12 |       2050      |            [2, 3, 4, 5]            |      4      |  0.005200862884521484  |
|       191       | 25 |       4021      |            [3, 4, 5, 6]            |      4      |  0.023831844329833984  |
|       191       | 50 |       7185      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.2880210876464844   |
|       191       | 75 |       9553      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   2.9089579582214355   |
|       192       | 12 |       2064      |            [2, 3, 4, 5]            |      4      |  0.005021095275878906  |
|       192       | 25 |       4078      |            [3, 4, 5, 6]            |      4      |  0.02446603775024414   |
|       192       | 50 |       7259      |         [4, 5, 6, 7, 8, 9]         |      6      |   0.305743932723999    |
|       192       | 75 |       9702      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   3.1950290203094482   |
|       193       | 12 |       2082      |            [2, 3, 4, 5]            |      4      |  0.005048990249633789  |
|       193       | 25 |       4086      |          [3, 4, 5, 6, 7]           |      5      |  0.024176836013793945  |
|       193       | 50 |       7276      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.28714990615844727   |
|       193       | 75 |       9750      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   3.0562212467193604   |
|       194       | 12 |       2106      |            [2, 3, 4, 5]            |      4      |  0.00503993034362793   |
|       194       | 25 |       4110      |          [3, 4, 5, 6, 7]           |      5      |  0.02379322052001953   |
|       194       | 50 |       7357      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.29393982887268066   |
|       194       | 75 |       9856      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   3.0432651042938232   |
|       195       | 12 |       2132      |            [2, 3, 4, 5]            |      4      |  0.005102872848510742  |
|       195       | 25 |       4191      |            [3, 4, 5, 6]            |      4      |  0.02486586570739746   |
|       195       | 50 |       7451      |         [4, 5, 6, 7, 8, 9]         |      6      |   0.3059670925140381   |
|       195       | 75 |       9968      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   3.331932783126831    |
|       196       | 12 |       2173      |            [2, 3, 4, 5]            |      4      |  0.005421876907348633  |
|       196       | 25 |       4233      |         [2, 3, 4, 5, 6, 7]         |      6      |  0.025014162063598633  |
|       196       | 50 |       7522      |         [4, 5, 6, 7, 8, 9]         |      6      |   0.3200082778930664   |
|       196       | 75 |      10019      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   3.226585865020752    |
|       197       | 12 |       2188      |          [2, 3, 4, 5, 6]           |      5      |  0.005647182464599609  |
|       197       | 25 |       4291      |            [3, 4, 5, 6]            |      4      |  0.02594304084777832   |
|       197       | 50 |       7637      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.35647106170654297   |
|       197       | 75 |      10162      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   3.497051239013672    |
|       198       | 12 |       2212      |            [2, 3, 4, 5]            |      4      | 0.0053691864013671875  |
|       198       | 25 |       4317      |          [3, 4, 5, 6, 7]           |      5      |  0.02599310874938965   |
|       198       | 50 |       7694      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.3301877975463867   |
|       198       | 75 |      10295      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   3.6785149574279785   |
|       199       | 12 |       2229      |          [2, 3, 4, 5, 6]           |      5      |  0.005452156066894531  |
|       199       | 25 |       4361      |            [3, 4, 5, 6]            |      4      |    0.02618408203125    |
|       199       | 50 |       7742      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.32474803924560547   |
|       199       | 75 |      10383      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   3.6299099922180176   |
+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
