+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
|        45       | 12 |       109       |             [2, 3, 4]              |      3      | 0.00015997886657714844 |
|        45       | 25 |       220       |             [2, 3, 4]              |      3      | 0.0003561973571777344  |
|        45       | 50 |       394       |            [3, 4, 5, 6]            |      4      | 0.0011408329010009766  |
|        45       | 75 |       533       |         [3, 4, 5, 6, 7, 8]         |      6      |  0.002607107162475586  |
|        46       | 12 |       118       |             [2, 3, 4]              |      3      | 0.0001690387725830078  |
|        46       | 25 |       232       |             [2, 3, 4]              |      3      | 0.0003819465637207031  |
|        46       | 50 |       409       |          [2, 3, 4, 5, 6]           |      5      | 0.0010991096496582031  |
|        46       | 75 |       546       |            [4, 5, 6, 7]            |      4      | 0.0027680397033691406  |
|        47       | 12 |       123       |             [2, 3, 4]              |      3      | 0.0001742839813232422  |
|        47       | 25 |       240       |            [2, 3, 4, 5]            |      4      | 0.00039887428283691406 |
|        47       | 50 |       430       |            [3, 4, 5, 6]            |      4      | 0.0012171268463134766  |
|        47       | 75 |       565       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0027799606323242188  |
|        48       | 12 |       131       |             [2, 3, 4]              |      3      | 0.00019693374633789062 |
|        48       | 25 |       254       |            [2, 3, 4, 5]            |      4      | 0.00042891502380371094 |
|        48       | 50 |       453       |          [3, 4, 5, 6, 7]           |      5      |  0.001325845718383789  |
|        48       | 75 |       597       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0032660961151123047  |
|        49       | 12 |       137       |             [2, 3, 4]              |      3      | 0.0002040863037109375  |
|        49       | 25 |       267       |            [2, 3, 4, 5]            |      4      | 0.00045800209045410156 |
|        49       | 50 |       477       |            [3, 4, 5, 6]            |      4      | 0.0014889240264892578  |
|        49       | 75 |       643       |         [4, 5, 6, 7, 8, 9]         |      6      |  0.003782987594604492  |
|        50       | 12 |       141       |             [2, 3, 4]              |      3      | 0.00020575523376464844 |
|        50       | 25 |       268       |            [2, 3, 4, 5]            |      4      | 0.0004642009735107422  |
|        50       | 50 |       487       |            [3, 4, 5, 6]            |      4      |   0.0016021728515625   |
|        50       | 75 |       647       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0038487911224365234  |
|        51       | 12 |       147       |             [2, 3, 4]              |      3      | 0.00021791458129882812 |
|        51       | 25 |       286       |            [2, 3, 4, 5]            |      4      | 0.0005440711975097656  |
